"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"16-Feb-2021","    15371.45","    15431.75","    15242.20","    15313.45","      648545320","        36550.03"
"17-Feb-2021","    15279.90","    15314.30","    15170.75","    15208.90","      504767226","        34073.12"
"18-Feb-2021","    15238.70","    15250.75","    15078.05","    15118.95","      770629541","        37093.99"
"19-Feb-2021","    15074.80","    15144.05","    14898.20","    14981.75","      712213821","        37419.34"
"22-Feb-2021","    14999.05","    15010.10","    14635.05","    14675.70","      609898454","        37578.07"
"23-Feb-2021","    14782.25","    14854.50","    14651.85","    14707.80","      744092809","        39508.09"
"24-Feb-2021","    14729.15","    15008.80","    14723.05","    14982.00","      403754669","        23723.99"
"25-Feb-2021","    15079.85","    15176.50","    15065.35","    15097.35","      803883875","        42983.07"
"26-Feb-2021","    14888.60","    14919.45","    14467.75","    14529.15","     1103644519","        65012.96"
"01-Mar-2021","    14702.50","    14806.80","    14638.55","    14761.55","      507302977","        30030.57"
"02-Mar-2021","    14865.30","    14959.10","    14760.80","    14919.10","      621723916","        34647.26"
"03-Mar-2021","    15064.40","    15273.15","    14995.80","    15245.60","      544205583","        34567.73"
"04-Mar-2021","    15026.75","    15202.35","    14980.20","    15080.75","      534850447","        36036.02"
"05-Mar-2021","    14977.95","    15092.35","    14862.10","    14938.10","      640700362","        37811.60"
"08-Mar-2021","    15002.45","    15111.15","    14919.90","    14956.20","      580308065","        29518.07"
"09-Mar-2021","    15049.90","    15126.85","    14925.45","    15098.40","      675271251","        38365.48"
"10-Mar-2021","    15202.15","    15218.45","    15100.85","    15174.80","      404585756","        25603.32"
"12-Mar-2021","    15321.15","    15336.30","    14953.60","    15030.95","      493238854","        32195.96"
"15-Mar-2021","    15048.40","    15048.40","    14745.85","    14929.50","      467473367","        28118.00"
"16-Mar-2021","    14996.10","    15051.60","    14890.65","    14910.45","      437651327","        27975.07"
"17-Mar-2021","    14946.55","    14956.55","    14696.05","    14721.30","      479352147","        27983.50"
"18-Mar-2021","    14855.50","    14875.20","    14478.60","    14557.85","      542216908","        31339.71"
"19-Mar-2021","    14471.15","    14788.25","    14350.10","    14744.00","      919178208","        49011.27"
"22-Mar-2021","    14736.30","    14763.90","    14597.85","    14736.40","      458997059","        27345.02"
"23-Mar-2021","    14768.55","    14878.60","    14707.00","    14814.75","      474150088","        30322.09"
"24-Mar-2021","    14712.45","    14752.35","    14535.00","    14549.40","      456403503","        27868.93"
"25-Mar-2021","    14570.90","    14575.60","    14264.40","    14324.90","      606820996","        35350.22"
"26-Mar-2021","    14506.30","    14572.90","    14414.25","    14507.30","      481000845","        29423.45"
"30-Mar-2021","    14628.50","    14876.30","    14617.60","    14845.10","      594520567","        35117.93"
"31-Mar-2021","    14811.85","    14813.75","    14670.25","    14690.70","      436874691","        29741.83"
